"id","type","query","language","unit","name","country","region","lat","lon","timezone_id","wind_degree","wind_dir","pressure","precip","humidity","cloudcover","feelslike","uv_index","visibility","is_day"
1,"City","New Delhi, India","en","m","New Delhi","India","Delhi","28.6","77.2","Asia/Kolkata",302,"WNW",1017,"0",64,75,19,2,3,"yes"
2,"City","Chennai, India","en","m","Chennai","India","Tamil Nadu","13.083","80.283","Asia/Kolkata",161,"SSE",1016,"0",79,25,31,5,3,"yes"
3,"City","Maisuru, India","en","m","Maisuru","India","Karnataka","12.307","76.65","Asia/Kolkata",130,"SE",1016,"0",43,0,25,5,10,"yes"
4,"City","Bhilwara, India","en","m","Bhilwara","India","Rajasthan","25.35","74.633","Asia/Kolkata",337,"NNW",1015,"0",30,6,25,3,10,"yes"
5,"City","Kolkata, India","en","m","Kolkata","India","West Bengal","22.57","88.37","Asia/Kolkata",211,"SSW",1015,"0",74,25,28,5,3,"yes"
6,"City","Mumbai, India","en","m","Mumbai","India","Maharashtra","18.975","72.826","Asia/Kolkata",40,"NE",1015,"0",40,0,30,3,3,"yes"
7,"City","Hyderabad, India","en","m","Hyderabad","India","Telangana","17.375","78.474","Asia/Kolkata",148,"SSE",1018,"0",48,0,28,4,5,"yes"
8,"City","Bangalore, India","en","m","Bangalore","India","Karnataka","12.983","77.583","Asia/Kolkata",121,"ESE",1021,"0",51,0,25,5,4,"yes"
9,"City","Pune, India","en","m","Pune","India","Maharashtra","18.533","73.867","Asia/Kolkata",65,"ENE",1017,"0",24,0,26,4,10,"yes"
10,"City","Ahmedabad, India","en","m","Ahmedabad","India","Gujarat","23.033","72.617","Asia/Kolkata",329,"NNW",1015,"0",51,50,25,3,3,"yes"
